File Name,Sample ID
VK_170831_001,Qstd_1_1
VK_170831_002,Qstd_1_2
VK_170831_003,Qstd_1_3
VK_170831_004,Qstd_1_4
VK_170831_005,Qstd_1_5
VK_170831_006,Qstd_1_6
VK_170831_007,Qstd_2_1
VK_170831_008,Qstd_2_2
VK_170831_009,Qstd_2_3
VK_170831_010,Qstd_2_4
VK_170831_011,Qstd_2_5
VK_170831_012,Qstd_2_6
VK_170831_013,MilliQ_Blank_1
VK_170831_014,MilliQ_Blank_2
VK_170831_015,MilliQ_Blank_3
VK_170831_016,MilliQ_Blank_4
VK_170831_017,MilliQ_Blank_5
VK_170831_018,MilliQ_Blank_6
VK_170831_019,Mn_P3_C2_1
VK_170831_020,Mn_P3_C2_2
VK_170831_021,Mn_P3_C2_3
VK_170831_022,Mn_P3_C2_4
VK_170831_023,Mn_P3_C2_5
VK_170831_024,Mn_P3_C2_6
VK_170831_025,daf16_P1_W1_1
VK_170831_026,daf16_P1_W1_2
VK_170831_027,daf16_P1_W1_3
VK_170831_028,daf16_P1_W1_4
VK_170831_029,daf16_P1_W1_5
VK_170831_030,daf16_P1_W1_6
VK_170831_031,NE_W2_02_1
VK_170831_032,NE_W2_02_2
VK_170831_033,NE_W2_02_3
VK_170831_034,NE_W2_02_4
VK_170831_035,NE_W2_02_5
VK_170831_036,NE_W2_02_6
VK_170831_037,daf16_P2_W1_1
VK_170831_038,daf16_P2_W1_2
VK_170831_039,daf16_P2_W1_3
VK_170831_040,daf16_P2_W1_4
VK_170831_041,daf16_P2_W1_5
VK_170831_042,daf16_P2_W1_6
VK_170831_043,daf16_P1_W4_1
VK_170831_044,daf16_P1_W4_2
VK_170831_045,daf16_P1_W4_3
VK_170831_046,daf16_P1_W4_4
VK_170831_047,daf16_P1_W4_5
VK_170831_048,daf16_P1_W4_6
VK_170831_049,M9_Blank_1
VK_170831_050,M9_Blank_2
VK_170831_051,M9_Blank_3
VK_170831_052,M9_Blank_4
VK_170831_053,M9_Blank_5
VK_170831_054,M9_Blank_6
VK_170831_055,Mn_P2_C2_1
VK_170831_056,Mn_P2_C2_2
VK_170831_057,Mn_P2_C2_3
VK_170831_058,Mn_P2_C2_4
VK_170831_059,Mn_P2_C2_5
VK_170831_060,Mn_P2_C2_6
VK_170831_061,Mn_P1_C1_1
VK_170831_062,Mn_P1_C1_2
VK_170831_063,Mn_P1_C1_3
VK_170831_064,Mn_P1_C1_4
VK_170831_065,Mn_P1_C1_5
VK_170831_066,Mn_P1_C1_6
VK_170831_067,Mn_P3_L2_1
VK_170831_068,Mn_P3_L2_2
VK_170831_069,Mn_P3_L2_3
VK_170831_070,Mn_P3_L2_4
VK_170831_071,Mn_P3_L2_5
VK_170831_072,Mn_P3_L2_6
VK_170831_073,daf16_P3_W2_1
VK_170831_074,daf16_P3_W2_2
VK_170831_075,daf16_P3_W2_3
VK_170831_076,daf16_P3_W2_4
VK_170831_077,daf16_P3_W2_5
VK_170831_078,daf16_P3_W2_6
VK_170831_079,N2_P3_W4_1
VK_170831_080,N2_P3_W4_2
VK_170831_081,N2_P3_W4_3
VK_170831_082,N2_P3_W4_4
VK_170831_083,N2_P3_W4_5
VK_170831_084,N2_P3_W4_6
VK_170831_085,MilliQ_Blank_1
VK_170831_086,MilliQ_Blank_2
VK_170831_087,MilliQ_Blank_3
VK_170831_088,MilliQ_Blank_4
VK_170831_089,MilliQ_Blank_5
VK_170831_090,MilliQ_Blank_6
VK_170831_091,FUDR_W3_01_1
VK_170831_092,FUDR_W3_01_2
VK_170831_093,FUDR_W3_01_3
VK_170831_094,FUDR_W3_01_4
VK_170831_095,FUDR_W3_01_5
VK_170831_096,FUDR_W3_01_6
VK_170831_097,NE_W1_01_1
VK_170831_098,NE_W1_01_2
VK_170831_099,NE_W1_01_3
VK_170831_100,NE_W1_01_4
VK_170831_101,NE_W1_01_5
VK_170831_102,NE_W1_01_6
VK_170831_103,daf16_P3_W4_1
VK_170831_104,daf16_P3_W4_2
VK_170831_105,daf16_P3_W4_3
VK_170831_106,daf16_P3_W4_4
VK_170831_107,daf16_P3_W4_5
VK_170831_108,daf16_P3_W4_6
VK_170831_109,NE_W3_02_1
VK_170831_110,NE_W3_02_2
VK_170831_111,NE_W3_02_3
VK_170831_112,NE_W3_02_4
VK_170831_113,NE_W3_02_5
VK_170831_114,NE_W3_02_6
VK_170831_115,N2_P3_W2_1
VK_170831_116,N2_P3_W2_2
VK_170831_117,N2_P3_W2_3
VK_170831_118,N2_P3_W2_4
VK_170831_119,N2_P3_W2_5
VK_170831_120,N2_P3_W2_6
VK_170831_121,M9_Blank_1
VK_170831_122,M9_Blank_2
VK_170831_123,M9_Blank_3
VK_170831_124,M9_Blank_4
VK_170831_125,M9_Blank_5
VK_170831_126,M9_Blank_6
VK_170831_127,FUDR_W2_03_1
VK_170831_128,FUDR_W2_03_2
VK_170831_129,FUDR_W2_03_3
VK_170831_130,FUDR_W2_03_4
VK_170831_131,FUDR_W2_03_5
VK_170831_132,FUDR_W2_03_6
VK_170831_133,FUDR_W2_01_1
VK_170831_134,FUDR_W2_01_2
VK_170831_135,FUDR_W2_01_3
VK_170831_136,FUDR_W2_01_4
VK_170831_137,FUDR_W2_01_5
VK_170831_138,FUDR_W2_01_6
VK_170831_139,Mn_P1_L1_1
VK_170831_140,Mn_P1_L1_2
VK_170831_141,Mn_P1_L1_3
VK_170831_142,Mn_P1_L1_4
VK_170831_143,Mn_P1_L1_5
VK_170831_144,Mn_P1_L1_6
VK_170831_145,Mn_P1_C2_1
VK_170831_146,Mn_P1_C2_2
VK_170831_147,Mn_P1_C2_3
VK_170831_148,Mn_P1_C2_4
VK_170831_149,Mn_P1_C2_5
VK_170831_150,Mn_P1_C2_6
VK_170831_151,NE_W2_01_1
VK_170831_152,NE_W2_01_2
VK_170831_153,NE_W2_01_3
VK_170831_154,NE_W2_01_4
VK_170831_155,NE_W2_01_5
VK_170831_156,NE_W2_01_6
VK_170831_157,MilliQ_Blank_1
VK_170831_158,MilliQ_Blank_2
VK_170831_159,MilliQ_Blank_3
VK_170831_160,MilliQ_Blank_4
VK_170831_161,MilliQ_Blank_5
VK_170831_162,MilliQ_Blank_6
VK_170831_163,daf16_P3_W3_1
VK_170831_164,daf16_P3_W3_2
VK_170831_165,daf16_P3_W3_3
VK_170831_166,daf16_P3_W3_4
VK_170831_167,daf16_P3_W3_5
VK_170831_168,daf16_P3_W3_6
VK_170831_169,N2_P1_W4_1
VK_170831_170,N2_P1_W4_2
VK_170831_171,N2_P1_W4_3
VK_170831_172,N2_P1_W4_4
VK_170831_173,N2_P1_W4_5
VK_170831_174,N2_P1_W4_6
VK_170831_175,daf16_P3_W1_1
VK_170831_176,daf16_P3_W1_2
VK_170831_177,daf16_P3_W1_3
VK_170831_178,daf16_P3_W1_4
VK_170831_179,daf16_P3_W1_5
VK_170831_180,daf16_P3_W1_6
VK_170831_181,Mn_P3_C1_1
VK_170831_182,Mn_P3_C1_2
VK_170831_183,Mn_P3_C1_3
VK_170831_184,Mn_P3_C1_4
VK_170831_185,Mn_P3_C1_5
VK_170831_186,Mn_P3_C1_6
VK_170831_187,N2_P1_W2_1
VK_170831_188,N2_P1_W2_2
VK_170831_189,N2_P1_W2_3
VK_170831_190,N2_P1_W2_4
VK_170831_191,N2_P1_W2_5
VK_170831_192,N2_P1_W2_6
VK_170831_193,Qstd_3_1
VK_170831_194,Qstd_3_2
VK_170831_195,Qstd_3_3
VK_170831_196,Qstd_3_4
VK_170831_197,Qstd_3_5
VK_170831_198,Qstd_3_6
VK_170831_199,Qstd_4_1
VK_170831_200,Qstd_4_2
VK_170831_201,Qstd_4_3
VK_170831_202,Qstd_4_4
VK_170831_203,Qstd_4_5
VK_170831_204,Qstd_4_6
VK_170901_001,Qstd_5_1
VK_170901_002,Qstd_5_2
VK_170901_003,Qstd_5_3
VK_170901_004,Qstd_5_4
VK_170901_005,Qstd_5_5
VK_170901_006,Qstd_5_6
VK_170901_007,Qstd_6_1
VK_170901_008,Qstd_6_2
VK_170901_009,Qstd_6_3
VK_170901_010,Qstd_6_4
VK_170901_011,Qstd_6_5
VK_170901_012,Qstd_6_6
VK_170901_013,MilliQ_Blank_1
VK_170901_014,MilliQ_Blank_2
VK_170901_015,MilliQ_Blank_3
VK_170901_016,MilliQ_Blank_4
VK_170901_017,MilliQ_Blank_5
VK_170901_018,MilliQ_Blank_6
VK_170901_019,Mn_P2_L1_1
VK_170901_020,Mn_P2_L1_2
VK_170901_021,Mn_P2_L1_3
VK_170901_022,Mn_P2_L1_4
VK_170901_023,Mn_P2_L1_5
VK_170901_024,Mn_P2_L1_6
VK_170901_025,NE_W3_01_1
VK_170901_026,NE_W3_01_2
VK_170901_027,NE_W3_01_3
VK_170901_028,NE_W3_01_4
VK_170901_029,NE_W3_01_5
VK_170901_030,NE_W3_01_6
VK_170901_031,FUDR_W1_02_1
VK_170901_032,FUDR_W1_02_2
VK_170901_033,FUDR_W1_02_3
VK_170901_034,FUDR_W1_02_4
VK_170901_035,FUDR_W1_02_5
VK_170901_036,FUDR_W1_02_6
VK_170901_037,N2_P2_W1_1
VK_170901_038,N2_P2_W1_2
VK_170901_039,N2_P2_W1_3
VK_170901_040,N2_P2_W1_4
VK_170901_041,N2_P2_W1_5
VK_170901_042,N2_P2_W1_6
VK_170901_043,M9_Blank_1
VK_170901_044,M9_Blank_2
VK_170901_045,M9_Blank_3
VK_170901_046,M9_Blank_4
VK_170901_047,M9_Blank_5
VK_170901_048,M9_Blank_6
VK_170901_049,N2_P2_W2_1
VK_170901_050,N2_P2_W2_2
VK_170901_051,N2_P2_W2_3
VK_170901_052,N2_P2_W2_4
VK_170901_053,N2_P2_W2_5
VK_170901_054,N2_P2_W2_6
VK_170901_055,N2_P2_W4_1
VK_170901_056,N2_P2_W4_2
VK_170901_057,N2_P2_W4_3
VK_170901_058,N2_P2_W4_4
VK_170901_059,N2_P2_W4_5
VK_170901_060,N2_P2_W4_6
VK_170901_061,N2_P1_W3_1
VK_170901_062,N2_P1_W3_2
VK_170901_063,N2_P1_W3_3
VK_170901_064,N2_P1_W3_4
VK_170901_065,N2_P1_W3_5
VK_170901_066,N2_P1_W3_6
VK_170901_067,FUDR_W3_02_1
VK_170901_068,FUDR_W3_02_2
VK_170901_069,FUDR_W3_02_3
VK_170901_070,FUDR_W3_02_4
VK_170901_071,FUDR_W3_02_5
VK_170901_072,FUDR_W3_02_6
VK_170901_073,NE_W1_02_1
VK_170901_074,NE_W1_02_2
VK_170901_075,NE_W1_02_3
VK_170901_076,NE_W1_02_4
VK_170901_077,NE_W1_02_5
VK_170901_078,NE_W1_02_6
VK_170901_079,MilliQ_Blank_1
VK_170901_080,MilliQ_Blank_2
VK_170901_081,MilliQ_Blank_3
VK_170901_082,MilliQ_Blank_4
VK_170901_083,MilliQ_Blank_5
VK_170901_084,MilliQ_Blank_6
VK_170901_085,FUDR_W1_01_1
VK_170901_086,FUDR_W1_01_2
VK_170901_087,FUDR_W1_01_3
VK_170901_088,FUDR_W1_01_4
VK_170901_089,FUDR_W1_01_5
VK_170901_090,FUDR_W1_01_6
VK_170901_091,daf16_P2_W4_1
VK_170901_092,daf16_P2_W4_2
VK_170901_093,daf16_P2_W4_3
VK_170901_094,daf16_P2_W4_4
VK_170901_095,daf16_P2_W4_5
VK_170901_096,daf16_P2_W4_6
VK_170901_097,N2_P3_W3_1
VK_170901_098,N2_P3_W3_2
VK_170901_099,N2_P3_W3_3
VK_170901_100,N2_P3_W3_4
VK_170901_101,N2_P3_W3_5
VK_170901_102,N2_P3_W3_6
VK_170901_103,Mn_P1_L2_1
VK_170901_104,Mn_P1_L2_2
VK_170901_105,Mn_P1_L2_3
VK_170901_106,Mn_P1_L2_4
VK_170901_107,Mn_P1_L2_5
VK_170901_108,Mn_P1_L2_6
VK_170901_109,FUDR_W1_03_1
VK_170901_110,FUDR_W1_03_2
VK_170901_111,FUDR_W1_03_3
VK_170901_112,FUDR_W1_03_4
VK_170901_113,FUDR_W1_03_5
VK_170901_114,FUDR_W1_03_6
VK_170901_115,M9_Blank_1
VK_170901_116,M9_Blank_2
VK_170901_117,M9_Blank_3
VK_170901_118,M9_Blank_4
VK_170901_119,M9_Blank_5
VK_170901_120,M9_Blank_6
VK_170901_121,daf16_P2_W3_1
VK_170901_122,daf16_P2_W3_2
VK_170901_123,daf16_P2_W3_3
VK_170901_124,daf16_P2_W3_4
VK_170901_125,daf16_P2_W3_5
VK_170901_126,daf16_P2_W3_6
VK_170901_127,FUDR_W3_03_1
VK_170901_128,FUDR_W3_03_2
VK_170901_129,FUDR_W3_03_3
VK_170901_130,FUDR_W3_03_4
VK_170901_131,FUDR_W3_03_5
VK_170901_132,FUDR_W3_03_6
VK_170901_133,Mn_P2_C1_1
VK_170901_134,Mn_P2_C1_2
VK_170901_135,Mn_P2_C1_3
VK_170901_136,Mn_P2_C1_4
VK_170901_137,Mn_P2_C1_5
VK_170901_138,Mn_P2_C1_6
VK_170901_139,daf16_P1_W2_1
VK_170901_140,daf16_P1_W2_2
VK_170901_141,daf16_P1_W2_3
VK_170901_142,daf16_P1_W2_4
VK_170901_143,daf16_P1_W2_5
VK_170901_144,daf16_P1_W2_6
VK_170901_145,MilliQ_Blank_1
VK_170901_146,MilliQ_Blank_2
VK_170901_147,MilliQ_Blank_3
VK_170901_148,MilliQ_Blank_4
VK_170901_149,MilliQ_Blank_5
VK_170901_150,MilliQ_Blank_6
VK_170901_151,N2_P3_W1_1
VK_170901_152,N2_P3_W1_2
VK_170901_153,N2_P3_W1_3
VK_170901_154,N2_P3_W1_4
VK_170901_155,N2_P3_W1_5
VK_170901_156,N2_P3_W1_6
VK_170901_157,Mn_P3_L1_1
VK_170901_158,Mn_P3_L1_2
VK_170901_159,Mn_P3_L1_3
VK_170901_160,Mn_P3_L1_4
VK_170901_161,Mn_P3_L1_5
VK_170901_162,Mn_P3_L1_6
VK_170901_163,N2_P2_W3_1
VK_170901_164,N2_P2_W3_2
VK_170901_165,N2_P2_W3_3
VK_170901_166,N2_P2_W3_4
VK_170901_167,N2_P2_W3_5
VK_170901_168,N2_P2_W3_6
VK_170901_169,Mn_P2_L2_1
VK_170901_170,Mn_P2_L2_2
VK_170901_171,Mn_P2_L2_3
VK_170901_172,Mn_P2_L2_4
VK_170901_173,Mn_P2_L2_5
VK_170901_174,Mn_P2_L2_6
VK_170901_175,N2_P1_W1_1
VK_170901_176,N2_P1_W1_2
VK_170901_177,N2_P1_W1_3
VK_170901_178,N2_P1_W1_4
VK_170901_179,N2_P1_W1_5
VK_170901_180,N2_P1_W1_6
VK_170901_181,Qstd_7_1
VK_170901_182,Qstd_7_2
VK_170901_183,Qstd_7_3
VK_170901_184,Qstd_7_4
VK_170901_185,Qstd_7_5
VK_170901_186,Qstd_7_6
VK_170901_187,Qstd_8_1
VK_170901_188,Qstd_8_2
VK_170901_189,Qstd_8_3
VK_170901_190,Qstd_8_4
VK_170901_191,Qstd_8_5
VK_170901_192,Qstd_8_6
