"","Fold Change","log2(FC)"
"735.3352_29.2",2.912,1.542
"195.9774_72.1",2.9116,1.5418
"406.731_55.6",0.34356,-1.5414
"719.2609_94.1",0.34361,-1.5412
"100.5789_103.1",2.9099,1.541
"427.8668_71.9",2.9079,1.54
"639.9043_66.3",0.34418,-1.5388
"100.5915_95",0.34475,-1.5364
"222.0292_125.6",2.8975,1.5348
"186.0775_126.5",2.8946,1.5334
"528.3757_27.3",0.34554,-1.5331
"368.2561_26.3",0.3456,-1.5328
"432.1928_31.7",2.8904,1.5313
"87.1583_110.9",2.8898,1.531
"219.6393_277.1",0.34641,-1.5295
"188.6313_287.7",0.34663,-1.5285
"750.5427_30.8",0.34728,-1.5258
"267.1711_20.8",0.34746,-1.5251
"115.1059_95.8",2.877,1.5245
"160.0798_88.1",0.34829,-1.5216
"433.854_70.8",2.8708,1.5215
"301.1191_30.2",2.8645,1.5183
"604.983_108.8",2.8644,1.5182
"416.2948_29.3",0.34929,-1.5175
"138.0429_41.8",2.8559,1.514
"461.2605_38.6",0.35042,-1.5128
"455.9809_98.6",2.8449,1.5084
"116.6113_64.5",0.35203,-1.5062
"268.1026_137",2.8366,1.5042
"479.524_289.8",2.8361,1.5039
"791.9588_106.5",2.8344,1.503
"532.2325_114.5",2.834,1.5028
"345.2132_39.1",0.35289,-1.5027
"250.913_45.4",2.8332,1.5024
"113.3901_110.4",2.8304,1.501
"830.7906_97.4",0.35342,-1.5006
"753.5258_29.9",2.8281,1.4998
"419.9259_80.3",2.8261,1.4988
"160.0428_176.1",2.8252,1.4983
"216.0195_100.3",2.8249,1.4982
"871.6275_35.4",0.35451,-1.4961
"276.0429_67.6",2.8198,1.4956
"1085.5358_26.4",0.35588,-1.4906
"986.9938_24.8",0.35622,-1.4892
"331.1904_23.4",2.8064,1.4887
"472.3131_34.3",0.35658,-1.4877
"538.6557_61.8",2.802,1.4864
"552.9119_75.9",0.35692,-1.4863
"233.6423_270.1",0.3572,-1.4852
"977.4317_24.5",0.35724,-1.485
"638.4334_40.2",0.35739,-1.4844
"1098.2391_57.1",0.35794,-1.4822
"338.1821_95.8",0.35838,-1.4804
"592.2007_99.2",2.7902,1.4804
"659.9317_60.8",0.35852,-1.4799
"537.0013_60.7",0.35883,-1.4786
"801.5798_30.9",2.7862,1.4783
"359.2579_32.5",0.35901,-1.4779
"531.9759_99",2.779,1.4746
"509.8695_72.8",2.7778,1.4739
"475.961_75.7",2.7771,1.4736
"771.8937_98.3",2.7766,1.4733
"153.5569_136.1",2.7744,1.4722
"457.3391_26.9",0.36121,-1.4691
"305.9483_65.3",0.36127,-1.4688
"297.1269_33",0.36155,-1.4677
"451.2551_34.9",0.36185,-1.4665
"502.3234_33.3",0.36189,-1.4664
"299.9622_72.7",2.7621,1.4658
"471.9546_98.5",2.7616,1.4655
"291.012_262.8",0.36217,-1.4653
"235.9207_75.1",0.36289,-1.4624
"208.0154_142.8",2.7522,1.4606
"818.5696_34.9",0.36423,-1.4571
"942.6885_59.4",0.36428,-1.4569
"492.282_30.9",0.36432,-1.4567
"470.9553_91.2",2.7445,1.4565
"395.9187_71.3",2.7383,1.4533
"254.0189_100.4",2.7363,1.4522
"142.5713_126.2",2.7356,1.4519
"280.175_25.2",0.36606,-1.4499
"130.0768_88.7",2.7249,1.4462
"678.3015_44.3",0.36772,-1.4433
"289.195_26.9",0.36798,-1.4423
"523.9067_81.8",2.717,1.442
"263.087_97.4",2.7162,1.4416
"260.027_98.9",2.7148,1.4409
"359.2289_37.4",0.36872,-1.4394
"245.1861_29.7",0.36895,-1.4385
"516.79_92.8",0.36902,-1.4382
"137.0167_42",2.7095,1.438
"673.9959_290.3",2.7085,1.4375
"99.5374_231.3",0.36932,-1.4371
"856.0052_59.7",0.36976,-1.4353
"1001.6002_26.2",0.36986,-1.435
"734.6507_26.4",0.37077,-1.4314
"725.4819_54.4",0.37079,-1.4313
"183.0918_28.3",2.6968,1.4312
"982.9043_59.7",0.37094,-1.4307
"282.1789_93.5",0.37135,-1.4291
"338.3372_26.6",2.6917,1.4285
"344.156_119",2.6914,1.4284
"431.25_36",0.37191,-1.427
"281.166_30.8",0.37217,-1.426
"792.5544_32.5",0.37226,-1.4256
"321.9651_71.3",2.6786,1.4215
"509.9128_73.5",2.6782,1.4213
"402.2335_32.7",0.37381,-1.4196
"179.1276_95.1",2.6744,1.4192
"402.735_55.6",0.37407,-1.4186
"422.0264_132.1",0.37408,-1.4186
"139.0503_34.7",2.6719,1.4179
"550.3245_29.7",0.37425,-1.4179
"654.6359_24.8",0.37474,-1.4161
"236.9981_71.7",0.37501,-1.415
"302.2196_25.9",0.37512,-1.4146
"195.129_292.6",0.37559,-1.4128
"810.4408_56",0.37575,-1.4122
"261.0113_58",2.6592,1.411
"210.0624_214.2",2.659,1.4109
"201.6447_277.6",0.37725,-1.4064
"209.6367_97.7",0.37755,-1.4053
"167.1067_23",0.37796,-1.4037
"114.0219_49.2",0.37798,-1.4036
"120.1019_37",2.6451,1.4033
"327.2894_26.1",0.3784,-1.402
"457.5724_128.3",0.37893,-1.4
"373.2448_35.1",0.3795,-1.3978
"265.0132_136.6",0.37997,-1.3961
"178.0863_21.9",2.6298,1.395
"749.9112_97.3",0.38044,-1.3943
"184.0277_124.6",2.626,1.3929
"92.3122_105.6",0.38099,-1.3922
"476.2772_33.7",0.38119,-1.3914
"300.1297_121.9",0.38157,-1.39
"403.2551_36.1",0.38156,-1.39
"96.0637_103",2.619,1.389
"324.0324_217.3",2.6177,1.3883
"405.0194_97.2",2.6166,1.3877
"793.5942_32.6",0.3822,-1.3876
"423.9759_73",2.6159,1.3873
"180.6214_286.5",0.3825,-1.3865
"1057.4975_26.4",0.38303,-1.3845
"1094.2892_54.9",0.38301,-1.3845
"265.1548_32.6",0.38311,-1.3842
"512.1574_88.7",0.38311,-1.3842
"337.9385_71.1",2.6057,1.3817
"360.0045_65.8",2.6054,1.3815
"304.1649_32.8",0.38387,-1.3813
"788.4743_55.7",2.6014,1.3793
"114.5946_93.4",0.38449,-1.379
"185.1034_285",0.38482,-1.3777
"537.8604_70.8",2.593,1.3746
"257.2305_26.6",0.38614,-1.3728
"187.6292_281.7",0.38656,-1.3712
"177.9481_250.9",0.38676,-1.3705
"96.3057_49.4",2.585,1.3701
"164.0083_112.1",2.5828,1.3689
"530.7883_87.3",0.38727,-1.3686
"194.0327_104.7",2.5816,1.3683
"121.0689_76.8",2.5812,1.368
"605.3156_28.2",0.3876,-1.3673
"85.076_105.5",2.578,1.3662
"298.1158_41.8",0.3882,-1.3651
"1004.5932_87.9",0.38833,-1.3646
"304.0322_125.8",2.5726,1.3632
"437.0191_107.2",2.5713,1.3625
"180.0611_139",2.5703,1.3619
"144.5516_133.6",2.5695,1.3615
"369.8668_19.2",0.3895,-1.3603
"499.9733_132.2",2.5629,1.3578
"331.1753_116.5",2.562,1.3573
"417.2343_33.9",0.39101,-1.3547
"288.1664_114.2",2.5566,1.3542
"143.9881_74.9",2.5542,1.3529
"548.3438_28.3",0.39173,-1.3521
"707.2228_95.3",2.5495,1.3502
"175.5133_267.2",2.5494,1.3501
"776.7705_86.7",0.3923,-1.35
"180.0873_40.1",2.5472,1.3489
"538.1272_100.2",2.547,1.3488
"185.5895_95.8",0.39306,-1.3472
"479.2962_33.2",0.39307,-1.3471
"135.084_90.8",0.39318,-1.3468
"874.4173_26",0.39317,-1.3468
"441.9082_83",2.5418,1.3458
"848.5203_32.2",0.3949,-1.3404
"820.6031_81",0.39569,-1.3376
"192.1111_276.6",0.39577,-1.3373
"675.9064_60.3",2.5238,1.3356
"509.9313_20.6",2.5236,1.3355
"415.1014_43.3",2.5222,1.3347
"180.1373_101.3",0.39678,-1.3336
"976.3748_55",0.39705,-1.3326
"475.9143_73.7",2.5179,1.3322
"706.6503_77.6",2.5175,1.332
"949.2824_50.4",0.39756,-1.3308
"212.9573_44.5",2.515,1.3306
"160.1333_28",2.5109,1.3282
"198.0526_99.7",2.5103,1.3279
"676.2862_42.5",0.39841,-1.3277
"279.1705_30.2",0.39858,-1.3271
"342.3085_26.4",0.3988,-1.3263
"206.1274_53.5",2.5059,1.3254
"207.0143_83.2",2.5051,1.3249
"657.4172_29.1",0.39932,-1.3244
"341.3051_26.9",0.39941,-1.324
"189.1679_27.8",0.3995,-1.3237
"235.0568_101.7",0.39966,-1.3232
"262.0976_31.3",0.39992,-1.3222
"196.9835_42.2",2.4996,1.3217
"823.3796_30.7",2.4986,1.3211
"202.0664_70.9",0.40032,-1.3208
"429.3073_27.8",0.40102,-1.3183
"105.0909_41.1",0.40115,-1.3178
"543.0846_62.9",0.40121,-1.3176
"547.2693_26.7",0.40175,-1.3156
"256.0172_98.9",2.4845,1.313
"785.9552_54.7",2.4818,1.3114
"137.5973_94.5",0.40366,-1.3088
"389.2393_38",0.40365,-1.3088
"91.0582_67.4",2.4769,1.3085
"443.8827_70.6",2.4749,1.3074
"960.7667_65.6",2.4724,1.3059
"162.0575_24.6",2.4721,1.3057
"281.1496_35.3",0.40507,-1.3038
"450.2796_31.2",0.40543,-1.3025
"302.1235_37.8",2.4661,1.3022
"294.1812_92.5",0.40554,-1.3021
"471.8695_70.5",0.40579,-1.3012
"260.053_47.9",2.4611,1.2993
"220.0371_52.2",2.4578,1.2974
"585.3977_28.7",0.40728,-1.2959
"449.2749_28.9",0.40741,-1.2955
"254.512_133.2",2.452,1.294
"459.3177_29.9",0.40785,-1.2939
"257.1469_61.7",2.4518,1.2938
"273.0395_293.4",2.4516,1.2937
"125.0427_33.9",2.451,1.2934
"245.5624_294.2",2.4493,1.2924
"312.1775_285.5",0.40826,-1.2924
"195.6266_288.4",0.40843,-1.2918
"570.6404_55.6",0.40867,-1.291
"175.0714_76.4",2.4467,1.2909
"540.9528_102.6",2.4452,1.2899
"187.6418_280.1",0.40912,-1.2894
"207.0515_45.1",2.4429,1.2886
"814.5367_33.1",0.40946,-1.2882
"232.1697_19.4",0.40962,-1.2877
"360.2745_26.7",0.40967,-1.2875
"476.9163_73.3",0.40983,-1.2869
"648.5466_54.4",2.4383,1.2859
"360.0608_293.8",2.438,1.2857
"253.1646_20.9",0.41028,-1.2853
"228.1344_34.2",2.4368,1.285
"285.9805_67.1",0.41067,-1.2839
"598.8282_63",0.41086,-1.2833
"216.0633_99.7",2.4327,1.2826
"271.0945_106.1",0.41134,-1.2816
"261.0226_70.9",2.4301,1.281
"246.1892_30",0.41163,-1.2806
"403.9521_83.5",2.4277,1.2796
"208.6526_277",0.41193,-1.2795
"828.7604_169.7",0.41241,-1.2778
"580.9825_59.4",0.41248,-1.2776
"411.8926_71.6",2.4242,1.2775
"930.4811_58.4",0.41285,-1.2763
"219.0714_70.8",0.41292,-1.2761
"962.0507_59.3",0.41302,-1.2757
"408.1395_119.1",2.4207,1.2754
"524.979_96.3",2.4174,1.2735
"140.0382_63",2.4159,1.2726
"169.0739_43.8",2.4079,1.2677
"584.2716_30",0.41566,-1.2665
"528.411_27.1",0.41571,-1.2664
"351.1666_37.7",2.4053,1.2662
"143.0634_138",2.404,1.2654
"835.6025_34.1",0.41644,-1.2638
"305.9747_83",2.3982,1.262
"413.7009_97.9",2.398,1.2618
"664.9292_59.7",0.41702,-1.2618
"296.9835_92.5",2.3971,1.2613
"479.9013_69.6",2.3956,1.2604
"142.0476_75.4",2.3946,1.2598
"145.1078_105.1",0.41779,-1.2592
"255.9876_132.2",2.3924,1.2585
"696.6106_55",0.41813,-1.258
"505.3119_32.2",0.41844,-1.2569
"360.2321_20.5",0.41847,-1.2568
"90.0496_72.2",2.389,1.2564
"378.069_110.5",2.389,1.2564
"375.8952_70.1",2.3884,1.2561
"313.0644_131.4",0.4191,-1.2546
"579.2931_26.4",0.41927,-1.2541
"184.0733_132.1",2.3841,1.2535
"463.9279_69.6",2.383,1.2528
"323.8689_69.9",2.3819,1.2521
"458.2973_34",0.41985,-1.252
"195.6085_128.3",0.41994,-1.2517
"1058.153_51.1",2.3795,1.2507
"228.1708_96.1",0.42049,-1.2498
"374.3266_23.7",0.4207,-1.2491
"541.9436_68.9",2.377,1.2491
"345.2995_26.3",0.42094,-1.2483
"263.9261_189.7",0.42102,-1.248
"789.4325_54.6",0.4214,-1.2467
"267.9071_70.8",2.3728,1.2466
"350.7798_65",0.42165,-1.2459
"401.3264_26.2",0.42163,-1.2459
"298.0969_143.3",2.3715,1.2458
"478.293_33.6",0.42175,-1.2455
"152.0094_70.7",0.42195,-1.2449
"295.1906_27.7",0.42201,-1.2446
"180.6029_126.4",0.42215,-1.2442
"383.3153_26.4",0.42222,-1.2439
"217.0666_99.7",2.3671,1.2431
"173.0129_176.1",2.3667,1.2429
"262.1398_126.3",2.366,1.2424
"319.1856_27.5",0.42281,-1.2419
"354.7553_61.1",0.42328,-1.2403
"395.2925_26.4",0.4241,-1.2375
"135.0222_70.2",0.42455,-1.236
"380.9834_213.6",2.3548,1.2356
"139.9634_21.7",0.42485,-1.235
"104.0706_43.1",2.3523,1.2341
"331.2843_26.6",0.42521,-1.2337
"203.1503_90.9",2.349,1.232
"299.1003_135.3",2.3489,1.232
"195.1291_94.8",0.42597,-1.2312
"742.544_53.2",0.42631,-1.23
"423.2578_28.9",0.42656,-1.2292
"176.0295_72.2",2.3443,1.2291
"446.26_33.7",0.42691,-1.228
"116.5887_61.8",0.42702,-1.2276
"192.102_18.9",2.3406,1.2269
"242.0997_32.4",2.3387,1.2257
"218.1577_30.4",0.428,-1.2243
"373.9365_72.8",2.3355,1.2237
"159.0278_41.8",2.3348,1.2233
"290.1644_123",0.42829,-1.2233
"114.1026_97.6",2.3302,1.2205
"111.0552_104.4",2.3273,1.2187
"265.6742_279.2",0.42968,-1.2187
"90.1107_96.9",2.3264,1.2181
"439.9502_75.1",2.3251,1.2173
"238.0443_96.1",2.3215,1.215
"932.48_58.8",0.4308,-1.2149
"174.135_94",0.43084,-1.2148
"261.91_190.6",0.43116,-1.2137
"286.1508_109.2",0.432,-1.2109
"239.0485_98.8",2.3105,1.2082
"515.9451_71.3",2.3091,1.2073
"521.9683_124.5",0.43307,-1.2073
"741.3302_65.9",0.43317,-1.207
"403.9486_76.4",2.308,1.2066
"444.2816_35.9",0.4333,-1.2066
"1214.604_79.1",0.43378,-1.205
"185.0979_66.2",2.3051,1.2048
"188.1434_274.6",0.43388,-1.2046
"360.319_27.2",0.43389,-1.2046
"884.3054_50.7",0.43488,-1.2013
"99.5247_240.5",0.43503,-1.2008
"100.2573_38.4",2.2986,1.2007
"522.9698_109.3",2.2974,1.2
"239.1366_30.2",0.43539,-1.1996
"797.1127_59.8",0.43576,-1.1984
"181.6052_128",0.43606,-1.1974
"416.0249_92.9",2.293,1.1972
"463.2914_28.1",0.43646,-1.1961
"322.187_89.7",0.4365,-1.1959
"619.381_29.1",2.2901,1.1954
"305.3774_110.5",2.2878,1.1939
"268.1404_41.9",2.2867,1.1933
"332.1921_127.5",0.43732,-1.1932
"359.2729_27.2",0.43855,-1.1892
"827.5997_30.7",0.43874,-1.1885
"799.6038_34.8",2.276,1.1865
"194.1176_199.9",0.4394,-1.1864
"487.2149_32.3",2.2758,1.1864
"253.977_67.2",2.2756,1.1863
"483.1308_84.7",2.2757,1.1863
"318.1811_30.5",0.43949,-1.1861
"488.8293_59.9",0.43961,-1.1857
"410.3323_27.6",0.43977,-1.1852
"137.0457_42.8",2.2711,1.1834
"637.861_75.7",2.2707,1.1832
"493.2657_34.1",0.44096,-1.1813
"411.1257_58.3",0.4413,-1.1802
"275.1692_118.2",0.44144,-1.1797
"849.5228_33",0.44145,-1.1797
"455.8956_70.1",2.2631,1.1783
"244.2021_32.9",2.2629,1.1782
"763.1198_107.6",2.2626,1.178
"178.0241_62",0.44208,-1.1776
"131.034_78.2",2.2607,1.1768
"750.7027_65.9",0.44245,-1.1764
"180.6157_98.9",0.44261,-1.1759
"514.0017_106.5",2.2578,1.1749
"638.337_26.6",0.44335,-1.1735
"417.2707_34.8",0.44356,-1.1728
"466.3291_33.2",2.2537,1.1723
"329.1467_32",2.2532,1.172
"387.2602_33.2",0.44418,-1.1708
"313.2738_25.4",0.44445,-1.1699
"638.3108_25.4",0.44472,-1.169
"185.0702_122.4",2.2464,1.1676
"327.9098_68.2",2.2422,1.1649
"435.2604_31.5",0.44612,-1.1645
"642.7068_77.1",0.44612,-1.1645
"1220.756_66",0.44626,-1.164
"207.9983_80.5",2.2384,1.1625
"339.2889_26.6",0.44675,-1.1625
"203.1391_41.9",0.44681,-1.1623
"353.9553_69.5",2.2344,1.1599
"291.9337_70.9",2.234,1.1596
"766.7581_64",0.44787,-1.1588
"802.067_59.4",0.44829,-1.1575
"728.33_66.4",0.44863,-1.1564
"568.933_79.2",2.2285,1.1561
"514.0644_58.9",0.44911,-1.1549
"256.1482_95.3",2.2253,1.154
"553.9577_98.7",2.2227,1.1523
"495.281_31.3",0.44999,-1.152
"258.9797_68.1",0.45029,-1.1511
"175.0016_42.5",2.2196,1.1503
"239.0138_74.2",2.2195,1.1503
"468.726_56.6",0.45067,-1.1498
"690.5966_39.1",0.45107,-1.1486
"900.5275_57.8",2.215,1.1473
"481.8985_70.1",2.212,1.1453
"220.1181_30.1",2.2118,1.1452
"398.0402_46.6",2.2068,1.1419
"273.1212_62.6",2.2057,1.1413
"204.0422_47",2.2044,1.1404
"142.0489_133.6",2.2036,1.1399
"275.1098_27.5",0.4541,-1.1389
"528.8812_64.4",0.45468,-1.1371
"378.1487_41.8",2.1989,1.1368
"423.2238_34.7",0.45483,-1.1366
"495.8752_69.6",2.1956,1.1346
"752.5718_55",0.45557,-1.1342
"344.0444_65.4",0.45596,-1.133
"362.0101_71.7",2.1914,1.1319
"321.9482_82.7",2.1887,1.1301
"176.9998_42.7",2.1874,1.1292
"366.1993_34.5",0.45721,-1.1291
"445.3019_33.8",0.45733,-1.1287
"937.0904_108",2.1836,1.1267
"504.3082_32.8",0.45835,-1.1255
"349.8922_70.5",2.1809,1.1249
"390.3213_26.1",0.45869,-1.1244
"220.6216_286.1",0.45882,-1.124
"481.2328_46.2",0.45899,-1.1235
"362.8752_84.6",0.45968,-1.1213
"124.0159_278.6",2.1733,1.1199
"376.3421_27.3",0.46017,-1.1198
"769.5568_36.5",0.4603,-1.1193
"181.1133_101.8",0.46048,-1.1188
"168.0769_108",2.1715,1.1187
"541.1831_106.8",2.1705,1.118
"250.9549_197.5",2.1699,1.1176
"253.118_42.2",0.46085,-1.1176
"424.2781_31.1",0.46097,-1.1172
"742.8004_65.5",0.46107,-1.1169
"289.129_111.2",2.1684,1.1167
"281.0952_110.5",2.1682,1.1165
"282.2427_26.3",0.46125,-1.1164
"343.9466_70.8",2.1679,1.1163
"158.0772_102",2.167,1.1157
"232.1732_29.5",0.46191,-1.1143
"396.9972_72.6",0.4622,-1.1134
"167.0126_172.6",0.46262,-1.1121
"1231.7438_41.7",0.46282,-1.1115
"433.2254_110.9",2.1606,1.1114
"361.3221_26.3",0.46289,-1.1113
"347.2289_97.2",0.46315,-1.1105
"378.2646_23.2",0.46348,-1.1094
"649.4651_78.2",2.1574,1.1093
"797.4208_54.6",2.1559,1.1083
"92.5141_27.3",0.464,-1.1078
"791.9978_287.9",0.4644,-1.1066
"267.2682_26.7",0.46444,-1.1064
"266.1475_105",2.1527,1.1061
"284.0104_279.2",2.1521,1.1057
"177.0247_91",2.1518,1.1055
"461.0835_262.9",0.46485,-1.1052
"234.153_40.2",0.46497,-1.1048
"1024.3053_55",0.46503,-1.1046
"360.0841_46.2",2.1489,1.1036
"198.1381_78.2",2.1482,1.1032
"343.8665_211.6",0.4659,-1.1019
"269.1253_63.3",0.46614,-1.1012
"263.1238_165.4",2.1434,1.0999
"359.3154_27.3",0.46671,-1.0994
"474.2713_31.1",0.46687,-1.0989
"533.8038_58.6",0.4669,-1.0988
"443.3228_27.1",0.46746,-1.0971
"314.277_26.2",0.46748,-1.097
"226.8781_39",2.1376,1.096
"147.1453_108.5",2.1356,1.0947
"194.6495_276.9",0.46884,-1.0928
"430.2658_35.6",0.46908,-1.0921
"531.9233_125.4",2.1296,1.0906
"341.1077_64.1",2.1285,1.0898
"201.1475_86.7",0.46987,-1.0897
"715.9643_105.8",2.1283,1.0897
"291.0043_82",2.128,1.0895
"404.3451_26.4",2.1277,1.0893
"101.1991_38.5",2.1273,1.089
"305.0336_294.1",2.1245,1.0871
"435.8947_74.3",2.1244,1.0871
"377.3456_26.7",0.47105,-1.086
"878.5397_81.1",2.1203,1.0842
"696.9919_91.5",0.47172,-1.084
"457.9608_83.8",2.1171,1.0821
"391.2841_158.2",0.47271,-1.081
"517.903_82.9",2.1145,1.0803
"389.9313_86.6",2.1118,1.0785
"301.0516_134.2",2.1118,1.0784
"153.0946_123.5",0.47413,-1.0766
"170.5241_131",2.106,1.0745
"498.1163_41.5",2.1044,1.0734
"369.1825_26.4",0.47532,-1.073
"147.121_47.8",2.1033,1.0727
"149.9929_69.7",2.1026,1.0721
"332.2877_25.4",0.47587,-1.0714
"261.9232_74.5",2.1007,1.0709
"200.076_139.1",2.1002,1.0705
"274.1874_93.7",0.47631,-1.07
"190.1267_40.6",0.47654,-1.0693
"289.293_26.2",0.47658,-1.0692
"535.8235_160.3",2.0971,1.0684
"539.0216_113.4",2.097,1.0683
"300.9366_133.9",0.47718,-1.0674
"280.1296_39.8",0.47763,-1.066
"545.8925_83.5",2.0921,1.065
"654.3284_25.5",0.47811,-1.0646
"325.1123_107.1",0.47834,-1.0639
"165.9668_70.1",2.0895,1.0632
"377.1455_41",2.089,1.0628
"134.0189_68.8",2.0886,1.0625
"262.1478_40.2",0.4788,-1.0625
"356.0782_71.6",2.0884,1.0624
"356.957_73.2",0.47916,-1.0614
"420.1736_28.1",0.47924,-1.0612
"152.105_97.6",0.47926,-1.0611
"369.3366_26.7",0.4794,-1.0607
"487.2134_275",2.0823,1.0582
"97.1926_49.4",0.48049,-1.0574
"217.1548_27.8",0.48053,-1.0573
"1091.729_65.7",0.4815,-1.0544
"286.9419_192.2",0.48153,-1.0543
"539.8572_70.6",0.48162,-1.054
"221.0249_60.5",2.0752,1.0533
"156.0893_104.8",2.0746,1.0529
"574.876_65.7",0.48204,-1.0528
"804.4803_53.8",0.48203,-1.0528
"122.058_126.3",0.48211,-1.0526
"168.0632_29.8",2.0729,1.0516
"869.5387_27",0.48246,-1.0515
"1116.8896_95.6",2.0721,1.0511
"332.5608_284.9",2.0713,1.0505
"389.9106_72.4",2.0691,1.049
"427.9086_70.6",2.0679,1.0482
"264.0762_132.7",0.4843,-1.046
"527.1423_41.5",2.0631,1.0448
"280.0923_110.8",2.0614,1.0436
"92.0592_71.5",2.0609,1.0433
"307.0432_99.9",2.0608,1.0432
"501.0305_67.4",0.48594,-1.0411
"208.0555_64.9",2.0575,1.0409
"569.9321_98.6",2.0567,1.0403
"373.2951_26",0.48657,-1.0393
"434.127_102.2",0.4866,-1.0392
"355.2843_27",0.48696,-1.0381
"654.8337_25.1",0.48729,-1.0371
"191.9773_69.4",2.052,1.037
"158.0765_48.6",0.48749,-1.0366
"304.0165_73.1",2.0501,1.0357
"231.1704_32.2",0.48782,-1.0356
"732.872_62.9",0.48787,-1.0354
"358.303_26.6",0.48805,-1.0349
"503.2961_32.4",0.48821,-1.0344
"1002.8987_108",0.48833,-1.0341
"539.1622_99.5",2.0475,1.0339
"709.5116_20.2",0.48907,-1.0319
"329.9078_70.2",0.48932,-1.0311
"480.0052_66.3",2.0427,1.0305
"172.1081_284.4",0.48986,-1.0296
"431.2865_34.9",0.49013,-1.0288
"89.1073_96.6",2.0392,1.028
"277.936_69.9",2.0389,1.0278
"262.1033_99.3",2.0381,1.0272
"252.0162_278.6",2.0343,1.0245
"190.0118_55.6",0.49189,-1.0236
"545.8566_46.4",0.49202,-1.0232
"221.1214_32.7",2.0317,1.0227
"391.2095_27.6",2.0315,1.0225
"90.055_63.2",2.0305,1.0219
"254.0139_133.3",2.0293,1.021
"967.8465_98.4",2.029,1.0208
"333.918_70.9",2.0286,1.0205
"354.2_29.8",0.49305,-1.0202
"254.1556_28.7",0.49316,-1.0199
"433.9991_94.9",2.0261,1.0187
"176.4761_209.6",0.49359,-1.0186
"194.1213_282.6",0.49369,-1.0183
"243.1018_35.6",2.0252,1.0181
"982.3214_55.2",0.49385,-1.0178
"546.8693_66.7",0.49398,-1.0175
"845.0222_59.7",0.49424,-1.0167
"296.1692_30.4",0.49455,-1.0158
"274.9918_93.7",2.0208,1.0149
"253.1433_22.3",0.495,-1.0145
"124.0393_32.3",2.0183,1.0131
"461.8957_46.1",0.49573,-1.0124
"262.1431_134.2",2.0167,1.012
"401.2759_32.3",0.49607,-1.0114
"465.3915_30.1",2.0158,1.0114
"402.246_100.1",0.4966,-1.0098
"490.1183_294.1",2.0132,1.0095
"320.9222_45.7",2.0123,1.0088
"109.5786_105.1",0.49712,-1.0083
"274.9536_68.8",0.49712,-1.0083
"438.2615_37.9",0.49777,-1.0065
"255.1315_33.6",0.49781,-1.0063
"347.9341_73.7",0.4979,-1.0061
"363.9082_71.8",2.0079,1.0057
"868.4216_55.3",0.49856,-1.0041
"149.5974_274.6",2.0043,1.0031
"1047.7329_37.5",0.49909,-1.0026
