"","FC","log2(FC)","raw.pval","-log10(p)"
"251.1733_94.5",0.20075,-2.3166,0.014517,1.8381
"216.6445_95.5",0.094835,-3.3984,0.014601,1.8356
"408.1395_119.1",2.4207,1.2754,0.015058,1.8222
"188.6313_287.7",0.34663,-1.5285,0.015094,1.8212
"676.2862_42.5",0.39841,-1.3277,0.015231,1.8173
"332.2877_25.4",0.47587,-1.0714,0.015272,1.8161
"400.5509_264",4.8917,2.2903,0.015578,1.8075
"219.0714_70.8",0.41292,-1.2761,0.015718,1.8036
"782.9599_54",0.3141,-1.6707,0.015949,1.7973
"487.2149_32.3",2.2758,1.1864,0.016174,1.7912
"377.9842_74.8",4.5558,2.1877,0.016403,1.7851
"403.9486_76.4",2.308,1.2066,0.01641,1.7849
"366.1993_34.5",0.45721,-1.1291,0.016427,1.7844
"429.1526_122.6",3.7385,1.9024,0.016445,1.784
"228.1708_96.1",0.42049,-1.2498,0.016516,1.7821
"142.0489_133.6",2.2036,1.1399,0.016551,1.7812
"339.1931_285",3.0108,1.5902,0.016656,1.7784
"423.2578_28.9",0.42656,-1.2292,0.016734,1.7764
"322.1763_34.9",0.31108,-1.6846,0.016743,1.7762
"201.6447_277.6",0.37725,-1.4064,0.016845,1.7735
"563.8628_70.5",2.9308,1.5513,0.016873,1.7728
"109.5786_105.1",0.49712,-1.0083,0.017066,1.7679
"463.2914_28.1",0.43646,-1.1961,0.017086,1.7674
"195.129_292.6",0.37559,-1.4128,0.017358,1.7605
"149.9929_69.7",2.1026,1.0721,0.017381,1.7599
"289.195_26.9",0.36798,-1.4423,0.01764,1.7535
"801.5338_26.2",2.9976,1.5838,0.017752,1.7507
"124.9998_123.2",3.1251,1.6439,0.017894,1.7473
"405.8845_73",4.0596,2.0213,0.018009,1.7445
"380.9834_213.6",2.3548,1.2356,0.018148,1.7412
"200.076_139.1",2.1002,1.0705,0.018178,1.7405
"215.016_86.1",0.33393,-1.5824,0.018316,1.7372
"368.1946_28.3",0.329,-1.6038,0.018418,1.7348
"492.282_30.9",0.36432,-1.4567,0.018599,1.7305
"878.5397_81.1",2.1203,1.0842,0.01882,1.7254
"347.0523_45",5.2028,2.3793,0.018965,1.7221
"205.1295_110.2",3.0939,1.6294,0.019166,1.7175
"185.0768_131.5",2.9475,1.5595,0.019897,1.7012
"441.9245_73.7",0.17554,-2.5101,0.019927,1.7005
"190.1267_40.6",0.47654,-1.0693,0.020155,1.6956
"255.1315_33.6",0.49781,-1.0063,0.020241,1.6938
"167.9649_70",4.5336,2.1807,0.020395,1.6905
"539.0216_113.4",2.097,1.0683,0.02041,1.6902
"471.3543_27",0.221,-2.1779,0.020533,1.6875
"180.6214_286.5",0.3825,-1.3865,0.020575,1.6867
"168.0632_29.8",2.0729,1.0516,0.02068,1.6844
"250.913_45.4",2.8332,1.5024,0.020778,1.6824
"499.7343_288.5",3.3562,1.7468,0.020795,1.682
"153.1638_26.8",0.23869,-2.0668,0.020908,1.6797
"137.0751_42.4",3.6416,1.8646,0.021225,1.6732
"298.1158_41.8",0.3882,-1.3651,0.021236,1.6729
"347.2289_97.2",0.46315,-1.1105,0.021984,1.6579
"419.9259_80.3",2.8261,1.4988,0.022202,1.6536
"273.0955_106.2",3.9972,1.999,0.022937,1.6395
"206.0554_129.4",2.9677,1.5694,0.023065,1.637
"351.8902_64.8",3.3791,1.7566,0.023741,1.6245
"380.8344_47.1",0.2488,-2.007,0.023919,1.6213
"103.1232_34.4",4.2009,2.0707,0.024044,1.619
"689.89_98.5",5.8913,2.5586,0.024266,1.615
"423.9759_73",2.6159,1.3873,0.024496,1.6109
"214.9556_43.5",3.0682,1.6174,0.024664,1.6079
"374.2399_102",0.25321,-1.9816,0.024737,1.6067
"208.6526_277",0.41193,-1.2795,0.02512,1.6
"384.2384_27.5",3.0607,1.6139,0.025372,1.5956
"395.2925_26.4",0.4241,-1.2375,0.025404,1.5951
"659.9317_60.8",0.35852,-1.4799,0.025443,1.5944
"96.7264_102.9",0.038053,-4.7158,0.025502,1.5934
"145.1078_105.1",0.41779,-1.2592,0.025586,1.592
"487.2134_275",2.0823,1.0582,0.025635,1.5912
"354.2_29.8",0.49305,-1.0202,0.025661,1.5907
"360.0841_46.2",2.1489,1.1036,0.025769,1.5889
"137.0167_42",2.7095,1.438,0.025817,1.5881
"522.9698_109.3",2.2974,1.2,0.025841,1.5877
"378.069_110.5",2.389,1.2564,0.025918,1.5864
"341.3051_26.9",0.39941,-1.324,0.026135,1.5828
"271.0945_106.1",0.41134,-1.2816,0.026628,1.5747
"617.3575_65.4",0.27177,-1.8795,0.026787,1.5721
"937.0904_108",2.1836,1.1267,0.026803,1.5718
"802.5953_31.2",0.19228,-2.3787,0.026811,1.5717
"255.6553_65.6",0.092974,-3.427,0.027141,1.5664
"405.0194_97.2",2.6166,1.3877,0.027351,1.563
"272.2948_27",0.15011,-2.7359,0.027486,1.5609
"552.9119_75.9",0.35692,-1.4863,0.027698,1.5576
"233.6423_270.1",0.3572,-1.4852,0.027912,1.5542
"524.979_96.3",2.4174,1.2735,0.027973,1.5533
"264.0762_132.7",0.4843,-1.046,0.028079,1.5516
"143.9881_74.9",2.5542,1.3529,0.028701,1.5421
"242.0997_32.4",2.3387,1.2257,0.028748,1.5414
"321.9482_82.7",2.1887,1.1301,0.029206,1.5345
"313.2738_25.4",0.44445,-1.1699,0.029609,1.5286
"262.1478_40.2",0.4788,-1.0625,0.02961,1.5286
"147.121_47.8",2.1033,1.0727,0.029858,1.5249
"530.3553_30.3",0.15212,-2.7167,0.029952,1.5236
"319.2055_35.8",0.2966,-1.7534,0.030139,1.5209
"403.9521_83.5",2.4277,1.2796,0.030223,1.5197
"349.8922_70.5",2.1809,1.1249,0.030259,1.5191
"175.0714_76.4",2.4467,1.2909,0.030369,1.5176
"253.5129_133.5",3.1433,1.6523,0.030399,1.5171
"885.5488_40.5",0.17231,-2.5369,0.030422,1.5168
"416.9369_69.7",0.27355,-1.8701,0.030425,1.5168
"266.1584_31.2",0.33184,-1.5915,0.03072,1.5126
"417.2707_34.8",0.44356,-1.1728,0.030754,1.5121
"855.3134_65.2",0.19573,-2.353,0.03083,1.511
"134.0189_68.8",2.0886,1.0625,0.030969,1.5091
"828.7604_169.7",0.41241,-1.2778,0.031252,1.5051
"164.1168_68",6.1001,2.6088,0.031303,1.5044
"493.2657_34.1",0.44096,-1.1813,0.031781,1.4978
"358.303_26.6",0.48805,-1.0349,0.031895,1.4963
"388.2302_103.4",0.23892,-2.0654,0.032167,1.4926
"196.9835_42.2",2.4996,1.3217,0.032386,1.4896
"411.8926_71.6",2.4242,1.2775,0.032701,1.4854
"353.9553_69.5",2.2344,1.1599,0.03291,1.4827
"227.1026_40.2",12.058,3.5919,0.032953,1.4821
"194.1176_199.9",0.4394,-1.1864,0.032965,1.4819
"659.3902_27.6",0.33931,-1.5593,0.033019,1.4812
"921.8242_83.1",5.3323,2.4148,0.033209,1.4787
"389.9313_86.6",2.1118,1.0785,0.033357,1.4768
"657.4172_29.1",0.39932,-1.3244,0.033443,1.4757
"331.2843_26.6",0.42521,-1.2337,0.033672,1.4727
"158.0772_102",2.167,1.1157,0.03391,1.4697
"192.102_18.9",2.3406,1.2269,0.033987,1.4687
"960.7667_65.6",2.4724,1.3059,0.034057,1.4678
"902.98_59.6",0.20813,-2.2645,0.034124,1.4669
"342.3085_26.4",0.3988,-1.3263,0.034242,1.4654
"361.1503_80.9",0.098938,-3.3373,0.034255,1.4653
"210.0624_214.2",2.659,1.4109,0.034455,1.4627
"359.2579_32.5",0.35901,-1.4779,0.034616,1.4607
"604.4063_19.5",0.34017,-1.5557,0.034778,1.4587
"1001.6002_26.2",0.36986,-1.435,0.035157,1.454
"219.6393_277.1",0.34641,-1.5295,0.035439,1.4505
"430.2658_35.6",0.46908,-1.0921,0.035444,1.4505
"376.3421_27.3",0.46017,-1.1198,0.035645,1.448
"557.9452_27.6",0.30092,-1.7325,0.035883,1.4451
"168.0769_108",2.1715,1.1187,0.03612,1.4423
"487.8437_69.8",10.24,3.3562,0.036177,1.4416
"222.0292_125.6",2.8975,1.5348,0.036195,1.4413
"96.0637_103",2.619,1.389,0.036578,1.4368
"362.1274_71.3",3.0447,1.6063,0.036776,1.4344
"399.2599_32",4.6695,2.2233,0.037172,1.4298
"849.5228_33",0.44145,-1.1797,0.037357,1.4276
"360.2745_26.7",0.40967,-1.2875,0.03736,1.4276
"438.754_66.7",0.30603,-1.7083,0.037407,1.427
"319.9201_70.1",5.2633,2.396,0.037415,1.4269
"359.3154_27.3",0.46671,-1.0994,0.037788,1.4227
"331.1753_116.5",2.562,1.3573,0.03807,1.4194
"154.0578_131.8",5.8011,2.5363,0.038241,1.4175
"200.1085_286.6",0.34255,-1.5456,0.038263,1.4172
"277.936_69.9",2.0389,1.0278,0.038292,1.4169
"982.3214_55.2",0.49385,-1.0178,0.038325,1.4165
"478.293_33.6",0.42175,-1.2455,0.038359,1.4161
"138.0429_41.8",2.8559,1.514,0.03838,1.4159
"185.0702_122.4",2.2464,1.1676,0.038717,1.4121
"314.277_26.2",0.46748,-1.097,0.038866,1.4104
"417.2343_33.9",0.39101,-1.3547,0.039186,1.4069
"649.219_250.2",0.20516,-2.2852,0.03942,1.4043
"231.1678_30.1",0.065229,-3.9383,0.039456,1.4039
"523.2758_34.1",0.2519,-1.9891,0.039514,1.4032
"180.6029_126.4",0.42215,-1.2442,0.039937,1.3986
"305.9747_83",2.3982,1.262,0.0401,1.3969
"373.2951_26",0.48657,-1.0393,0.040401,1.3936
"202.1187_47.1",7.6065,2.9272,0.040622,1.3912
"181.1133_101.8",0.46048,-1.1188,0.041108,1.3861
"1016.064_49.4",0.33902,-1.5605,0.041223,1.3849
"742.544_53.2",0.42631,-1.23,0.041372,1.3833
"304.0322_125.8",2.5726,1.3632,0.041551,1.3814
"124.0159_278.6",2.1733,1.1199,0.041625,1.3806
"735.6564_22.7",0.061856,-4.0149,0.041725,1.3796
"231.1897_44.2",33.774,5.0778,0.0418,1.3788
"92.0592_71.5",2.0609,1.0433,0.041938,1.3774
"164.0083_112.1",2.5828,1.3689,0.041938,1.3774
"375.8952_70.1",2.3884,1.2561,0.041946,1.3773
"360.319_27.2",0.43389,-1.2046,0.042304,1.3736
"378.1487_41.8",2.1989,1.1368,0.042832,1.3682
"1058.153_51.1",2.3795,1.2507,0.043579,1.3607
"363.2153_28.1",0.22418,-2.1572,0.043684,1.3597
"718.5316_37.2",9.9894,3.3204,0.043686,1.3597
"523.9067_81.8",2.717,1.442,0.043929,1.3573
"427.9086_70.6",2.0679,1.0482,0.043972,1.3568
"121.0689_76.8",2.5812,1.368,0.044223,1.3544
"609.9311_69.1",4.5704,2.1923,0.044353,1.3531
"291.9337_70.9",2.234,1.1596,0.044489,1.3517
"435.8947_74.3",2.1244,1.0871,0.044861,1.3481
"190.138_97.4",5.2999,2.406,0.045358,1.3433
"738.4326_49.1",0.12878,-2.957,0.045361,1.3433
"541.9436_68.9",2.377,1.2491,0.045507,1.3419
"797.1127_59.8",0.43576,-1.1984,0.045539,1.3416
"232.9889_47",0.24779,-2.0128,0.045834,1.3388
"207.0143_83.2",2.5051,1.3249,0.046064,1.3366
"618.5943_55.4",0.22387,-2.1593,0.046179,1.3356
"194.6495_276.9",0.46884,-1.0928,0.046382,1.3337
"439.9502_75.1",2.3251,1.2173,0.046659,1.3311
"146.1369_38.2",7.5556,2.9175,0.0471,1.327
"379.9859_98.1",3.1212,1.6421,0.04754,1.3229
"573.4519_25.5",0.020018,-5.6426,0.047808,1.3205
"276.0844_37.4",12.748,3.6722,0.047877,1.3199
"111.0552_104.4",2.3273,1.2187,0.048288,1.3162
"191.9773_69.4",2.052,1.037,0.048631,1.3131
"410.3323_27.6",0.43977,-1.1852,0.048982,1.31
"253.977_67.2",2.2756,1.1863,0.048997,1.3098
"744.5393_53.4",0.30687,-1.7043,0.049026,1.3096
"867.012_59.2",0.10862,-3.2026,0.049599,1.3045
"924.0856_59.3",0.29021,-1.7848,0.049993,1.3011
"343.8844_71.1",3.9836,1.9941,0.05003,1.3008
"750.5427_30.8",0.34728,-1.5258,0.051155,1.2911
"244.2021_32.9",2.2629,1.1782,0.051191,1.2908
"209.6367_97.7",0.37755,-1.4053,0.051201,1.2907
"149.0564_25.9",13.97,3.8042,0.051207,1.2907
"639.9043_66.3",0.34418,-1.5388,0.051346,1.2895
"395.9187_71.3",2.7383,1.4533,0.052226,1.2821
"267.2682_26.7",0.46444,-1.1064,0.053423,1.2723
"388.0898_70",3.6561,1.8703,0.053665,1.2703
"349.2002_26.8",3.3726,1.7539,0.053783,1.2694
"90.0705_71.1",3.0407,1.6044,0.054426,1.2642
"187.6418_280.1",0.40912,-1.2894,0.055383,1.2566
"235.1189_44.5",5.9942,2.5836,0.055525,1.2555
"612.3679_26.2",0.33002,-1.5994,0.055543,1.2554
"282.0498_125.5",2.9325,1.5521,0.055545,1.2554
"181.6052_128",0.43606,-1.1974,0.055775,1.2536
"147.1453_108.5",2.1356,1.0947,0.056214,1.2502
"202.1464_271.8",0.31634,-1.6604,0.056232,1.25
"176.1112_72.7",0.23156,-2.1105,0.05634,1.2492
"341.8631_49.1",0.30647,-1.7062,0.056369,1.249
"195.1291_94.8",0.42597,-1.2312,0.056647,1.2468
"361.3221_26.3",0.46289,-1.1113,0.05672,1.2463
"466.2292_88.1",0.048527,-4.3651,0.056735,1.2461
"667.1087_87.6",5.1338,2.36,0.056894,1.2449
"304.0165_73.1",2.0501,1.0357,0.057145,1.243
"356.957_73.2",0.47916,-1.0614,0.057326,1.2416
"605.8474_68.9",3.231,1.692,0.059257,1.2273
"479.9013_69.6",2.3956,1.2604,0.059923,1.2224
"338.1821_95.8",0.35838,-1.4804,0.060629,1.2173
"643.1618_108.5",3.0906,1.6279,0.060948,1.215
"861.5468_31.5",0.31509,-1.6662,0.061147,1.2136
"389.9106_72.4",2.0691,1.049,0.061309,1.2125
"188.0352_83.1",0.091601,-3.4485,0.061695,1.2097
"263.6585_292.5",0.079509,-3.6527,0.061806,1.209
"557.3656_30.1",0.072113,-3.7936,0.062321,1.2054
"343.9466_70.8",2.1679,1.1163,0.065002,1.1871
"402.0091_125.2",2.9826,1.5766,0.065352,1.1847
"218.0788_30.5",5.0039,2.323,0.065534,1.1835
"280.1296_39.8",0.47763,-1.066,0.065806,1.1817
"391.2841_158.2",0.47271,-1.081,0.066384,1.1779
"734.5591_43.1",5.6272,2.4924,0.066476,1.1773
"477.963_98",6.3401,2.6645,0.066776,1.1754
"274.9536_68.8",0.49712,-1.0083,0.066827,1.175
"635.3394_42.8",21.802,4.4464,0.067285,1.1721
"180.1373_101.3",0.39678,-1.3336,0.067534,1.1705
"201.1475_86.7",0.46987,-1.0897,0.067776,1.1689
"367.1395_125.6",5.4848,2.4555,0.068374,1.1651
"390.3213_26.1",0.45869,-1.1244,0.068426,1.1648
"217.0666_99.7",2.3671,1.2431,0.069459,1.1583
"377.3456_26.7",0.47105,-1.086,0.06991,1.1555
"526.3609_21",4.9396,2.3044,0.070836,1.1497
"172.1081_284.4",0.48986,-1.0296,0.070866,1.1496
"251.9333_70.1",3.609,1.8516,0.070936,1.1491
"268.1404_41.9",2.2867,1.1933,0.071504,1.1457
"345.2995_26.3",0.42094,-1.2483,0.072023,1.1425
"254.0189_100.4",2.7363,1.4522,0.072264,1.1411
"280.0923_110.8",2.0614,1.0436,0.072592,1.1391
"160.1333_28",2.5109,1.3282,0.073269,1.1351
"105.1174_41.9",0.29887,-1.7424,0.073292,1.1349
"753.5258_29.9",2.8281,1.4998,0.073495,1.1337
"596.8084_59.6",0.3257,-1.6184,0.074639,1.127
"333.918_70.9",2.0286,1.0205,0.07464,1.127
"734.6507_26.4",0.37077,-1.4314,0.074818,1.126
"739.5109_29.6",0.12124,-3.0441,0.075696,1.1209
"257.1469_61.7",2.4518,1.2938,0.076089,1.1187
"254.0139_133.3",2.0293,1.021,0.076931,1.1139
"802.067_59.4",0.44829,-1.1575,0.077022,1.1134
"158.0765_48.6",0.48749,-1.0366,0.077091,1.113
"641.4601_27.9",0.10094,-3.3085,0.077778,1.1091
"704.9621_58.9",6.2279,2.6388,0.078432,1.1055
"105.0909_41.1",0.40115,-1.3178,0.078608,1.1045
"258.1506_66.1",7.3785,2.8833,0.078921,1.1028
"131.118_27.1",4.1709,2.0604,0.079101,1.1018
"285.0612_102.9",3.6117,1.8527,0.080316,1.0952
"499.9733_132.2",2.5629,1.3578,0.080381,1.0948
"195.6085_128.3",0.41994,-1.2517,0.081053,1.0912
"402.2335_32.7",0.37381,-1.4196,0.081392,1.0894
"553.9577_98.7",2.2227,1.1523,0.08155,1.0886
"402.246_100.1",0.4966,-1.0098,0.08155,1.0886
"503.2961_32.4",0.48821,-1.0344,0.081814,1.0872
"261.0303_95",4.3021,2.1051,0.082024,1.0861
"273.1212_62.6",2.2057,1.1413,0.082388,1.0841
"224.119_123.4",0.16147,-2.6306,0.082662,1.0827
"355.046_76.4",6.1677,2.6247,0.082669,1.0827
"1122.8535_107.5",3.9504,1.982,0.082905,1.0814
"369.3366_26.7",0.4794,-1.0607,0.08333,1.0792
"355.2843_27",0.48696,-1.0381,0.083648,1.0775
"793.8763_98.1",3.373,1.754,0.083681,1.0774
"701.5561_34.9",7.2446,2.8569,0.083985,1.0758
"262.1033_99.3",2.0381,1.0272,0.084078,1.0753
"646.1289_86.4",27.255,4.7685,0.084763,1.0718
"176.4761_209.6",0.49359,-1.0186,0.085046,1.0703
"455.9809_98.6",2.8449,1.5084,0.085308,1.069
"313.5655_131.8",0.31903,-1.6482,0.085371,1.0687
"269.0996_19.7",0.23587,-2.0839,0.085592,1.0676
"601.3911_36.5",0.25855,-1.9515,0.085964,1.0657
"424.2781_31.1",0.46097,-1.1172,0.086157,1.0647
"339.2889_26.6",0.44675,-1.1625,0.086419,1.0634
"868.4216_55.3",0.49856,-1.0041,0.086824,1.0614
"180.6157_98.9",0.44261,-1.1759,0.087433,1.0583
"137.5973_94.5",0.40366,-1.3088,0.088062,1.0552
"144.5516_133.6",2.5695,1.3615,0.089024,1.0505
"260.027_98.9",2.7148,1.4409,0.089366,1.0488
"183.0308_133.3",4.46,2.157,0.089878,1.0463
"147.5942_91.8",0.3322,-1.5899,0.090608,1.0428
"277.1185_34.3",0.22543,-2.1492,0.090619,1.0428
"505.3119_32.2",0.41844,-1.2569,0.09116,1.0402
"229.1006_29.8",88.188,6.4625,0.091321,1.0394
"167.0126_172.6",0.46262,-1.1121,0.092486,1.0339
"190.0713_30.4",7.3055,2.869,0.092938,1.0318
"478.6109_57.3",0.069166,-3.8538,0.094024,1.0268
"455.8956_70.1",2.2631,1.1783,0.095417,1.0204
"286.971_70.8",3.3262,1.7339,0.096816,1.0141
"207.9525_70.5",3.1041,1.6342,0.097434,1.0113
"693.5639_33.9",0.052629,-4.248,0.097888,1.0093
"461.0835_262.9",0.46485,-1.1052,0.098342,1.0073
"261.91_190.6",0.43116,-1.2137,0.099322,1.003
